sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,built_year,has_individual_heating,has_central_heating
73.0,45.0,2,1.0,1,656,127500,HouseType 1: Pisos,1999.0,True,False
122.0,90.0,3,2.0,Bajo,847,179000,HouseType 1: Pisos,1999.0,True,False
98.0,86.0,3,2.0,Bajo,1111,266122,HouseType 1: Pisos,2020.0,True,False
97.0,83.0,3,2.0,Bajo,1100,261989,HouseType 1: Pisos,2020.0,True,False
111.0,98.0,3,2.0,7,1194,297621,HouseType 5: Áticos,2020.0,True,False
99.0,86.0,3,2.0,3,1071,251569,HouseType 1: Pisos,2020.0,True,False
77.0,66.0,3,1.0,1,598,113500,HouseType 1: Pisos,1968.0,,
85.0,75.0,3,1.0,4,698,138000,HouseType 1: Pisos,1966.0,True,False
90.0,73.0,3,2.0,2,994,225000,HouseType 1: Pisos,,,
133.0,80.0,2,1.0,6,1105,264000,HouseType 1: Pisos,2003.0,True,False
60.0,,3,1.0,2,531,98260,HouseType 1: Pisos,1960.0,True,False
133.0,101.0,3,3.0,7,1135,275000,HouseType 1: Pisos,2004.0,True,False
85.0,,2,1.0,2,642,124000,HouseType 1: Pisos,1967.0,True,False
59.0,,2,2.0,3,797,164513,HouseType 1: Pisos,,,
59.0,,2,2.0,1,796,164416,HouseType 1: Pisos,,,
58.0,,2,2.0,4,800,165435,HouseType 1: Pisos,,,
79.0,,3,2.0,1,925,202629,HouseType 1: Pisos,,,
60.0,,2,2.0,Bajo,796,164242,HouseType 1: Pisos,,,
121.0,,3,2.0,3,1094,260000,HouseType 1: Pisos,2001.0,True,False
126.0,,3,2.0,2,1187,294900,HouseType 1: Pisos,,,
134.0,,4,2.0,1,1250,319900,HouseType 1: Pisos,,,
111.0,,3,2.0,1,1094,259900,HouseType 1: Pisos,,,
122.0,,3,2.0,2,1164,285900,HouseType 1: Pisos,,,
125.0,,3,2.0,1,1174,289900,HouseType 1: Pisos,,,
102.0,,2,2.0,1,1066,249900,HouseType 1: Pisos,,,
104.0,88.0,3,2.0,1,1131,273352,HouseType 1: Pisos,2020.0,True,False
66.0,,3,1.0,1,561,104900,HouseType 1: Pisos,,True,False
95.0,,2,1.0,2,762,155000,HouseType 1: Pisos,1965.0,True,False
74.0,69.0,3,1.0,1,539,100000,HouseType 1: Pisos,1968.0,,
97.0,,2,1.0,Bajo,948,210000,HouseType 1: Pisos,2003.0,True,False
90.0,85.0,2,2.0,7,1038,240000,HouseType 5: Áticos,2004.0,True,False
130.0,,4,2.0,3,1086,257000,HouseType 1: Pisos,,True,False
49.0,44.0,2,1.0,Bajo,466,84000,HouseType 1: Pisos,1969.0,True,False
