sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,rent_price,buy_price,built_year,has_individual_heating,has_central_heating,house_type_HouseType 1: Pisos,house_type_HouseType 2: Casa o chalet,house_type_HouseType 4: Dúplex,house_type_HouseType 5: Áticos
-0.7627118644067796,-0.7100371747211895,-0.5714285714285714,-1.0,-0.33333333333333337,861,-0.9507042253521126,0.5321637426900585,1.0,0.0,True,False,False,False
-0.8672316384180792,-0.7955390334572491,-0.5714285714285714,-1.0,-0.33333333333333337,686,-0.9668008048289738,0.3450292397660819,1.0,0.0,True,False,False,False
-0.692090395480226,-0.5947955390334573,-0.5714285714285714,-0.6666666666666667,0.11111111111111116,1576,-0.857813547954393,0.3450292397660819,0.0,1.0,True,False,False,False
-0.728813559322034,-0.5947955390334573,-0.5714285714285714,-1.0,-0.7777777777777778,994,-0.9366197183098591,0.3099415204678362,1.0,0.0,True,False,False,False
-0.8983050847457628,-0.8066914498141264,-0.7142857142857143,-1.0,-1.0,762,-0.960093896713615,0.9298245614035088,1.0,0.0,True,False,False,False
-0.6327683615819208,-0.550185873605948,-0.5714285714285714,-0.6666666666666667,-0.7777777777777778,2332,-0.7439637826961771,0.42690058479532156,0.0,1.0,True,False,False,False
-0.7937853107344632,-0.6765799256505576,-0.7142857142857143,-1.0,-1.0,913,-0.9453386988598256,0.39181286549707606,1.0,0.0,True,False,False,False
-0.8418079096045198,-0.7546468401486989,-0.5714285714285714,-1.0,-1.0,964,-0.9399731723675385,0.22807017543859653,1.0,0.0,True,False,False,False
-0.8870056497175142,-0.7881040892193308,-0.5714285714285714,-1.0,-1.0,650,-0.9698189134808853,0.3801169590643274,1.0,0.0,True,False,False,False
-0.7768361581920904,-0.7100371747211895,-0.7142857142857143,-0.6666666666666667,-1.0,1052,-0.9299128101945003,0.8362573099415205,1.0,0.0,True,False,False,False
-0.7372881355932204,-0.6728624535315986,-0.4285714285714286,-0.6666666666666667,-0.33333333333333337,868,-0.9500335345405768,0.695906432748538,1.0,0.0,True,False,False,False
-0.8926553672316384,-0.8104089219330854,-0.5714285714285714,-1.0,-0.33333333333333337,725,-0.9634473507712944,0.4035087719298245,1.0,0.0,True,False,False,False
-0.7457627118644068,-0.6877323420074349,-0.5714285714285714,-0.6666666666666667,-0.11111111111111116,1564,-0.8594902749832327,0.8011695906432748,1.0,0.0,True,False,False,False
-0.18926553672316382,-0.23048327137546465,-0.5714285714285714,-0.33333333333333337,-0.7777777777777778,2017,-0.6163648558014756,0.4035087719298245,0.0,1.0,True,False,False,False
-0.827683615819209,-0.79182156133829,-0.7142857142857143,-1.0,-1.0,780,-0.9584171696847753,0.6140350877192982,1.0,0.0,True,False,False,False
-0.5451977401129944,-0.5427509293680297,-0.4285714285714286,-0.6666666666666667,0.7777777777777777,1989,-0.7974513749161636,0.567251461988304,0.0,1.0,True,False,False,False
-0.4915254237288136,-0.5799256505576208,-0.5714285714285714,-0.6666666666666667,-0.7777777777777778,1943,-0.8041582830315225,0.9766081871345029,0.0,1.0,True,False,False,False
-0.21468926553672318,-0.18959107806691455,-0.4285714285714286,-0.33333333333333337,-0.11111111111111116,2516,-0.6901408450704225,0.6374269005847952,1.0,0.0,False,False,False,True
-0.7768361581920904,-0.6877323420074349,-0.5714285714285714,-0.6666666666666667,-0.11111111111111116,1027,-0.9329309188464118,0.5906432748538011,1.0,0.0,True,False,False,False
-0.07909604519774016,-0.018587360594795488,-0.4285714285714286,-0.33333333333333337,-0.5555555555555556,-51191,-0.27431254191817567,0.1578947368421053,1.0,0.0,True,False,False,False
